GNF-Pf identifier,JC_XSMILES,Qualifier,PF proliferation inhibition 3D7 EC50 uM
GNF-Pf-1231,CO[C@H]1[C@@H](C)[C@H](O[C@](O)([C@H]1C)[C@H](C)C(O)=O)[C@H](C)C2O[C@@]3(CC[C@](C)(O3)[C@H]4CC[C@](C)(O4)[C@@H]5O[C@H](C[C@@H]5C)[C@H]6O[C@](C)(O)[C@H](C)C[C@@H]6C)C[C@H](O)[C@@H]2C,,1.135
GNF-Pf-1281,FC1=CC=C(C=C1)N2C=C(C3=CC=CC=C3)[N+]4=C2SCC4,,0.965
GNF-Pf-1422,[O-][N+](=O)C1=CC=C(C=C1)C2=CN3N=C(SC3=N2)C(F)(F)F,,1.053
GNF-Pf-1855,COC1=CC=C(C=C1)C(=O)C(C)[N+]2=CC=CC3=CC=C4C=CC=NC4=C23,,0.1952
GNF-Pf-2089,N#CC1=CC=CC=C1CN2C=CC(C=C2)=NCC3=CC=CC=C3,,1.059
GNF-Pf-2174,[O-][N+](=O)C1=CC=CC(=C1)C(=O)CN2C=CC(C=C2)=NCC3=CC=CC=C3,,0.397
GNF-Pf-2579,CC1=C(CC(N)C(O)=O)C(O)=NO1,,0.158
GNF-Pf-2959,IC1=CC=C(C=C1)C(=O)CN2C=CC(C=C2)=NCC3=CC=CC=C3,,0.3082
GNF-Pf-307,CC[C@H]1CN2CCC3=CC(OC)=C(OC)C=C3[C@@H]2C[C@@H]1C[C@H]4NCCC5=CC(O)=C(OC)C=C45,,0.00361
GNF-Pf-3616,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C2=CSC(NC3=CC=C(C)C(C)=C3)=N2,,2.104
GNF-Pf-3657,CC1=C[N+]2=C(SC=C2)N1CC3=CC=CC=C3C,,1.284
GNF-Pf-3913,CC1=C(N2C=CSC2=N1)C3=CSC(NC4=CC=CC=N4)=N3,,0.381
GNF-Pf-3934,CC(C)(C)C(=O)CN1C=CC(=N)C2=CC=CC=C12,,2.027
GNF-Pf-4739,CC1=CC=NC(NC2=NC(=CS2)C3=CC=CC=N3)=C1,,0.1128
GNF-Pf-4785,CCOC(=O)C1=C(CNC2=CC=NC=C2)N(C)C3=CC(Br)=C(OC(C)=O)C=C13,,0.2568
GNF-Pf-4847,CC(=O)NC1=NC(C)=C(S1)C2=CSC(NC3=CC=C(Cl)C=C3)=N2,,0.1403
GNF-Pf-5067,OC1=CC=C2C(=O)C(=C(OC2=C1CN3CCCCC3)C(F)(F)F)C4=CC=C(Cl)C=C4Cl,,0.994
GNF-Pf-5300,CC1=CC=C(C)C(=C1)C2=CSC(NC3=CC=C(C)C(C)=C3)=N2,,0.493
GNF-Pf-833,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C2=CSC(=NC3=CC=CC4=CC=CC=C34)N2C,,0.0609
GNF-Pf-841,O=C(CN1C2=[N+](C=CS2)C=C1C3=CC=CC=C3)C4=CC=CC=C4,,0.517
GNF-Pf-1041,CCN1C(\OC2=CC=C(C=C12)C3=CC=CC=C3)=C/C=C/C4=[N+](CC)C5=CC(=CC=C5N4CC)C#N,,0.61
GNF-Pf-1566,COC1=CC=C2N=C(NC(N)=NC)N=C(C)C2=C1,,0.662
GNF-Pf-1715,CSC1=C(N=C(O1)C(C)(C)C)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,,0.296
GNF-Pf-1813,CCCCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C13,,0.277
GNF-Pf-1901,C[N+]1=CC=CC(\C=C2\C3=CC=CC=C3C4=NC=CC=C24)=C1,,0.809
